analyst_id,series,cntry,year,unemp
018OL,une_rt_a_h Y15-74 PC_ACT T,EE,2011,12.3
018OL,une_rt_a_h Y15-74 PC_ACT T,EE,2012,10
018OL,une_rt_a_h Y15-74 PC_ACT T,EE,2013,8.6
018OL,une_rt_a_h Y15-74 PC_ACT T,ES,2004,11
018OL,une_rt_a_h Y15-74 PC_ACT T,ES,2005,9.2
018OL,une_rt_a_h Y15-74 PC_ACT T,ES,2006,8.5
018OL,une_rt_a_h Y15-74 PC_ACT T,ES,2007,8.2
018OL,une_rt_a_h Y15-74 PC_ACT T,ES,2008,11.3
018OL,une_rt_a_h Y15-74 PC_ACT T,ES,2009,17.9
018OL,une_rt_a_h Y15-74 PC_ACT T,ES,2010,19.9
018OL,une_rt_a_h Y15-74 PC_ACT T,ES,2011,21.4
018OL,une_rt_a_h Y15-74 PC_ACT T,ES,2012,24.8
018OL,une_rt_a_h Y15-74 PC_ACT T,ES,2013,26.1
018OL,une_rt_a_h Y15-74 PC_ACT T,FI,2004,8.8
018OL,une_rt_a_h Y15-74 PC_ACT T,FI,2005,8.4
018OL,une_rt_a_h Y15-74 PC_ACT T,FI,2006,7.7
018OL,une_rt_a_h Y15-74 PC_ACT T,FI,2007,6.9
018OL,une_rt_a_h Y15-74 PC_ACT T,FI,2008,6.4
018OL,une_rt_a_h Y15-74 PC_ACT T,FI,2009,8.2
018OL,une_rt_a_h Y15-74 PC_ACT T,FI,2010,8.4
018OL,une_rt_a_h Y15-74 PC_ACT T,FI,2011,7.8
018OL,une_rt_a_h Y15-74 PC_ACT T,FI,2012,7.7
018OL,une_rt_a_h Y15-74 PC_ACT T,FI,2013,8.2
018OL,une_rt_a_h Y15-74 PC_ACT T,FR,2004,8.9
018OL,une_rt_a_h Y15-74 PC_ACT T,FR,2005,8.9
018OL,une_rt_a_h Y15-74 PC_ACT T,FR,2006,8.8
018OL,une_rt_a_h Y15-74 PC_ACT T,FR,2007,8
018OL,une_rt_a_h Y15-74 PC_ACT T,FR,2008,7.4
018OL,une_rt_a_h Y15-74 PC_ACT T,FR,2009,9.1
018OL,une_rt_a_h Y15-74 PC_ACT T,FR,2010,9.3
018OL,une_rt_a_h Y15-74 PC_ACT T,FR,2011,9.2
018OL,une_rt_a_h Y15-74 PC_ACT T,FR,2012,9.8
018OL,une_rt_a_h Y15-74 PC_ACT T,FR,2013,10.3
018OL,une_rt_a_h Y15-74 PC_ACT T,GB,2004,4.7
018OL,une_rt_a_h Y15-74 PC_ACT T,GB,2005,4.8
018OL,une_rt_a_h Y15-74 PC_ACT T,GB,2006,5.4
018OL,une_rt_a_h Y15-74 PC_ACT T,GB,2007,5.3
018OL,une_rt_a_h Y15-74 PC_ACT T,GB,2008,5.6
018OL,une_rt_a_h Y15-74 PC_ACT T,GB,2009,7.6
018OL,une_rt_a_h Y15-74 PC_ACT T,GB,2010,7.8
018OL,une_rt_a_h Y15-74 PC_ACT T,GB,2011,8.1
018OL,une_rt_a_h Y15-74 PC_ACT T,GB,2012,7.9
018OL,une_rt_a_h Y15-74 PC_ACT T,GB,2013,7.5
018OL,une_rt_a_h Y15-74 PC_ACT T,GR,2004,10.6
018OL,une_rt_a_h Y15-74 PC_ACT T,GR,2005,10
018OL,une_rt_a_h Y15-74 PC_ACT T,GR,2006,9
018OL,une_rt_a_h Y15-74 PC_ACT T,GR,2007,8.4
018OL,une_rt_a_h Y15-74 PC_ACT T,GR,2008,7.8
018OL,une_rt_a_h Y15-74 PC_ACT T,GR,2009,9.6
018OL,une_rt_a_h Y15-74 PC_ACT T,GR,2010,12.7
018OL,une_rt_a_h Y15-74 PC_ACT T,GR,2011,17.9
018OL,une_rt_a_h Y15-74 PC_ACT T,GR,2012,24.5
018OL,une_rt_a_h Y15-74 PC_ACT T,GR,2013,27.5
018OL,une_rt_a_h Y15-74 PC_ACT T,HU,2004,6.1
018OL,une_rt_a_h Y15-74 PC_ACT T,HU,2005,7.2
018OL,une_rt_a_h Y15-74 PC_ACT T,HU,2006,7.5
018OL,une_rt_a_h Y15-74 PC_ACT T,HU,2007,7.4
018OL,une_rt_a_h Y15-74 PC_ACT T,HU,2008,7.8
018OL,une_rt_a_h Y15-74 PC_ACT T,HU,2009,10
018OL,une_rt_a_h Y15-74 PC_ACT T,HU,2010,11.2
