model,chisq,df,cfi,tli,rmsea,srmr,n_respondents
published,42152.57529194963,59,0.9103655647843822,0.8815002381895223,0.04137821146255993,0.05958003228710628,416698
data_driven,36257.258709924754,58,0.9229169751634596,0.8963366217715492,0.03870130903732451,0.05612533512192128,416698
valence,57825.373793322426,64,0.8770024147073862,0.8500966929246269,0.04653916458401489,0.07069714402542057,416698
