item,model,term,estimate,se,z,p
it9,"pooled, clustered",unemp_c,0.021227743573049126,0.011101376651043137,1.9121721783085766,0.05585411338093769
it9,"pooled, clustered",edu3mid,-0.2715536062084676,0.02600633353102862,-10.44182586847439,1.5970888384804578e-25
it9,"pooled, clustered",edu3high,-0.6751589515278515,0.03614372935860839,-18.67983640617451,7.224019682426014e-78
it9,"pooled, clustered",unemp_c:edu3mid,-0.008412144817050826,0.005605721210092086,-1.5006356009832031,0.13344983798701252
it9,"pooled, clustered",unemp_c:edu3high,0.011228427780449668,0.007099336759272621,1.5816164468862444,0.11373715709819995
it9,country and year fixed effects,unemp_c,0.06211750445772675,0.008630742138459041,7.197237903902595,6.144450344357741e-13
it9,country and year fixed effects,edu3mid,-0.1584897679616921,0.015657071558990324,-10.122567771665253,4.387512560283038e-24
it9,country and year fixed effects,edu3high,-0.4977542542360019,0.022858247380489725,-21.775696358105378,3.9443141046775386e-105
it9,country and year fixed effects,unemp_c:edu3mid,-0.005038537333224596,0.0037072355968944797,-1.3591090184409476,0.17411204549143997
it9,country and year fixed effects,unemp_c:edu3high,9.434649780369203e-4,0.005391714759566173,0.1749842156176736,0.861092036338337
it1,"pooled, clustered",unemp_c,-0.05131678139255033,0.011898760843168354,-4.31278366452871,1.612118446140158e-5
it1,"pooled, clustered",edu3mid,0.16931078828259175,0.03265966624964392,5.18409425829444,2.170671403434178e-7
it1,"pooled, clustered",edu3high,0.3866042553159089,0.03932610629268816,9.83072802678636,8.301644405851326e-23
it1,"pooled, clustered",unemp_c:edu3mid,6.539563808149185e-4,0.008165583138097088,0.08008691721768653,0.9361681278713958
it1,"pooled, clustered",unemp_c:edu3high,-0.01604662939068363,0.008446192449883492,-1.8998654702575457,0.05745077644577762
it1,country and year fixed effects,unemp_c,-0.010228628089897196,0.004709943350331208,-2.171709366563381,0.029877591590618726
it1,country and year fixed effects,edu3mid,0.1480398067320776,0.014379713121274753,10.29504590832574,7.418418149405568e-25
it1,country and year fixed effects,edu3high,0.2614284660654463,0.01815996357025094,14.395869521110155,5.492967442969256e-47
it1,country and year fixed effects,unemp_c:edu3mid,-0.0014413806950265128,0.0036950411473501395,-0.3900851540070627,0.6964735803860305
it1,country and year fixed effects,unemp_c:edu3high,-0.003156015078128977,0.004432144652796612,-0.712074024059116,0.47641893861629153
