solution,factor,F1,F2,F3,F4
2-factor,F1,1,-0.18666552981693113,NA,NA
2-factor,F2,-0.18666552981693113,1,NA,NA
4-factor,F1,0.9999999999999999,-0.14406432747094963,-0.16097164896544508,0.40529803437929457
4-factor,F2,-0.14406432747094963,0.9999999999999999,0.578958730481789,-0.10883135538259318
4-factor,F3,-0.16097164896544508,0.578958730481789,1.0000000000000004,-0.016282636434559863
4-factor,F4,0.40529803437929457,-0.10883135538259318,-0.016282636434559863,0.9999999999999999
