item,term,estimate
it12,urbansmall_town,-0.0436872
it12,rile_c,0.00452822
it12,rile_missing,-0.0445052
it13,female,0.0223726
it13,age_c,0.00455049
it13,age_c2,-1.98931e-4
it13,edu_c,3.77365e-4
it13,edu3mid,-0.0519632
it13,edu3high,-0.233229
it13,sesself_employed,-0.0957509
it13,sesmanager,-0.225714
it13,seswhite_collar,-0.0976768
it13,seshouse_person,-0.027507
it13,sesunemployed,0.0551492
it13,sesretired,0.0233497
it13,sesstudent,-0.225047
it13,urbanrural,0.019902
it13,urbansmall_town,0.0189833
it13,rile_c,8.9223e-4
it13,rile_missing,0.0133082
it14,female,-0.00506056
it14,age_c,0.00257484
it14,age_c2,-1.5446e-4
it14,edu_c,-4.20876e-4
it14,edu3mid,0.0472713
it14,edu3high,-0.0708146
it14,sesself_employed,-0.094139
it14,sesmanager,-0.147779
it14,seswhite_collar,-0.0566798
it14,seshouse_person,-0.071601
it14,sesunemployed,-0.0107908
it14,sesretired,0.0352684
it14,sesstudent,-0.127046
it14,urbanrural,0.0176404
it14,urbansmall_town,0.00570226
it14,rile_c,0.0203071
it14,rile_missing,-0.0467391
