item,with,tetrachoric
Waste of money,Unemployment,0.4038165899859234
Waste of money,Bureaucracy,0.5015531229306714
Waste of money,Waste of money,1
Waste of money,Loss of cultural identity,0.34693795252301696
Waste of money,More crime,0.44238313582308836
Waste of money,Not enough border control,0.36277483621302814
Loss of cultural identity,Peace,-0.14303919124953995
Loss of cultural identity,Economic prosperity,-0.18191578028989977
Loss of cultural identity,Democracy,-0.16187195769985033
Loss of cultural identity,Social protection,-0.08203101098694875
Loss of cultural identity,Freedom to travel,-0.08514196458588238
Loss of cultural identity,Cultural diversity,-0.01025172610233678
Loss of cultural identity,Stronger say in the world,-0.1022267203872437
Loss of cultural identity,Unemployment,0.3087274160273473
Loss of cultural identity,Bureaucracy,0.27770750331859434
Loss of cultural identity,Waste of money,0.34693795252301696
Loss of cultural identity,Loss of cultural identity,1
Loss of cultural identity,More crime,0.3630105217495778
Loss of cultural identity,Not enough border control,0.3721632916109699
More crime,Peace,-0.016860921423974287
More crime,Economic prosperity,-0.18089945862905807
More crime,Democracy,-0.08895374754872433
More crime,Social protection,-0.0790794018493485
More crime,Freedom to travel,-0.02318879734031661
More crime,Cultural diversity,0.026862574591864204
More crime,Stronger say in the world,-0.06211785963920178
More crime,Unemployment,0.5051949461721663
More crime,Bureaucracy,0.3060249627218319
More crime,Waste of money,0.44238313582308836
More crime,Loss of cultural identity,0.3630105217495778
More crime,More crime,1
More crime,Not enough border control,0.5383456328135245
Not enough border control,Peace,0.005687749212883297
Not enough border control,Economic prosperity,-0.1208629716784462
Not enough border control,Democracy,-0.056468097638516984
Not enough border control,Social protection,-0.029203026452137192
Not enough border control,Freedom to travel,0.03810864886010528
Not enough border control,Cultural diversity,0.07004024954400954
Not enough border control,Stronger say in the world,0.016771970506324452
Not enough border control,Unemployment,0.30424787886487814
Not enough border control,Bureaucracy,0.2761522688722994
Not enough border control,Waste of money,0.36277483621302814
Not enough border control,Loss of cultural identity,0.3721632916109699
Not enough border control,More crime,0.5383456328135245
Not enough border control,Not enough border control,1
