cell,rows,fitted,derived,has_mi,has_beta,bytes
mcomm__growth__other__fe_country__no_GR_ES__none,148,100,48,FALSE,TRUE,7197
mcomm__growth__other__fe_country__no_GR_ES__pop,148,100,48,FALSE,TRUE,7208
mcomm__growth__other__fe_country__no_bailout__n_cell,148,100,48,FALSE,TRUE,7168
mcomm__growth__other__fe_country__no_bailout__n_eff,148,100,48,FALSE,TRUE,7171
mcomm__growth__other__fe_country__no_bailout__none,148,100,48,FALSE,TRUE,7173
mcomm__growth__other__fe_country__no_bailout__pop,148,100,48,FALSE,TRUE,7174
mcomm__growth__other__fe_country__y2004_2008__n_cell,148,100,48,FALSE,TRUE,7197
mcomm__growth__other__fe_country__y2004_2008__n_eff,148,100,48,FALSE,TRUE,7186
mcomm__growth__other__fe_country__y2004_2008__none,148,100,48,FALSE,TRUE,7172
mcomm__growth__other__fe_country__y2004_2008__pop,148,100,48,FALSE,TRUE,7192
mcomm__growth__other__fe_country__y2009_2013__n_cell,148,100,48,FALSE,TRUE,7360
mcomm__growth__other__fe_country__y2009_2013__n_eff,148,100,48,FALSE,TRUE,7332
mcomm__growth__other__fe_country__y2009_2013__none,148,100,48,FALSE,TRUE,7257
mcomm__growth__other__fe_country__y2009_2013__pop,148,100,48,FALSE,TRUE,7184
mcomm__growth__other__fe_twoway__all__n_cell,148,100,48,FALSE,TRUE,7100
mcomm__growth__other__fe_twoway__all__n_eff,148,100,48,FALSE,TRUE,7083
mcomm__growth__other__fe_twoway__all__none,148,100,48,FALSE,TRUE,7106
mcomm__growth__other__fe_twoway__all__pop,148,100,48,FALSE,TRUE,7098
mcomm__growth__other__fe_twoway__no_GR_ES__n_cell,148,100,48,FALSE,TRUE,7210
mcomm__growth__other__fe_twoway__no_GR_ES__n_eff,148,100,48,FALSE,TRUE,7190
mcomm__growth__other__fe_twoway__no_GR_ES__none,148,100,48,FALSE,TRUE,7146
mcomm__growth__other__fe_twoway__no_GR_ES__pop,148,100,48,FALSE,TRUE,7129
mcomm__growth__other__fe_twoway__no_bailout__n_cell,148,100,48,FALSE,TRUE,7196
mcomm__growth__other__fe_twoway__no_bailout__n_eff,148,100,48,FALSE,TRUE,7217
mcomm__growth__other__fe_twoway__no_bailout__none,148,100,48,FALSE,TRUE,7278
mcomm__growth__other__fe_twoway__no_bailout__pop,148,100,48,FALSE,TRUE,7187
mcomm__growth__other__fe_twoway__y2004_2008__n_cell,148,100,48,FALSE,TRUE,7203
mcomm__growth__other__fe_twoway__y2004_2008__n_eff,148,100,48,FALSE,TRUE,7211
mcomm__growth__other__fe_twoway__y2004_2008__none,148,100,48,FALSE,TRUE,7176
mcomm__growth__other__fe_twoway__y2004_2008__pop,148,100,48,FALSE,TRUE,7067
mcomm__growth__other__fe_twoway__y2009_2013__n_cell,148,100,48,FALSE,TRUE,7299
mcomm__growth__other__fe_twoway__y2009_2013__n_eff,148,100,48,FALSE,TRUE,7281
mcomm__growth__other__fe_twoway__y2009_2013__none,148,100,48,FALSE,TRUE,7254
mcomm__growth__other__fe_twoway__y2009_2013__pop,148,100,48,FALSE,TRUE,7253
mcomm__growth__other__pooled_cl__all__n_cell,148,100,48,FALSE,TRUE,6992
