outcome,predictor,copredictor,estimator,sample,reg_weight,construction,variants,fitted,median_rca,min_rca,max_rca,share_claim,share_sig,share_both
mcomm,growth,none,fe_country,y2004_2008,n_eff,rate,50,50,0.19675279514157207,0.1496673425368876,0.2527026280303681,0,0.52,0
mcomm,growth,none,fe_country,y2004_2008,n_eff,share,50,50,0.050502540455993845,-0.05519498916899917,0.09067275058744816,0.48,0,0
mcomm,growth,none,fe_country,y2004_2008,none,count,48,48,0.12684661091594043,0.08474219032587876,0.1719384613600781,0,0,0
mcomm,growth,none,fe_country,y2004_2008,none,rate,50,50,0.14424366786973328,0.08474219032587876,0.18398966688783974,0,0,0
mcomm,growth,none,fe_country,y2004_2008,none,share,50,50,0.001681115249607845,-0.09588220055751676,0.03173183045841588,0.48,0,0
mcomm,growth,none,fe_country,y2004_2008,pop,count,48,48,0.013406386272531011,-0.04810031280857971,0.0705287113146589,0.4166666666666667,0,0
mcomm,growth,none,fe_country,y2004_2008,pop,rate,50,50,0.016273231360166437,-0.04810031280857971,0.07237979482809151,0.4,0,0
mcomm,growth,none,fe_country,y2004_2008,pop,share,50,50,-0.21741088167174796,-0.367507007918949,-0.12956355589064278,1,0.68,0.68
mcomm,growth,none,fe_country,y2009_2013,n_cell,count,48,48,-0.04985764539040667,-0.1313438637003111,0.01432545632493411,0.9166666666666666,0,0
mcomm,growth,none,fe_country,y2009_2013,n_cell,rate,50,50,-0.06020447007697438,-0.1313438637003111,0.01432545632493411,0.92,0,0
mcomm,growth,none,fe_country,y2009_2013,n_cell,share,50,50,-0.03720971902518949,-0.10772020146640268,0.01937927709751847,0.88,0,0
mcomm,growth,none,fe_country,y2009_2013,n_eff,count,48,48,-0.056833559694339175,-0.13675474904680837,0.01432545632493411,0.9166666666666666,0,0
mcomm,growth,none,fe_country,y2009_2013,n_eff,rate,50,50,-0.06020447007697438,-0.13675474904680837,0.01432545632493411,0.92,0,0
mcomm,growth,none,fe_country,y2009_2013,n_eff,share,50,50,-0.04593826795219996,-0.11107138953744793,0.01937927709751847,0.88,0,0
mcomm,growth,none,fe_country,y2009_2013,none,count,48,48,-0.07223491444169541,-0.12131224480234036,-0.0328692499570659,1,0,0
mcomm,growth,none,fe_country,y2009_2013,none,rate,50,50,-0.07223491444169541,-0.12131224480234036,-0.0328692499570659,1,0,0
mcomm,growth,none,fe_country,y2009_2013,none,share,50,50,-0.04948475823650537,-0.09296957033256024,-0.01920719276342875,1,0,0
mcomm,growth,none,fe_country,y2009_2013,pop,count,48,48,0.14333429870278716,0.04629582558576218,0.21209799749447864,0,0.125,0
mcomm,growth,none,fe_country,y2009_2013,pop,rate,50,50,0.14580431534487748,0.04629582558576218,0.21209799749447864,0,0.12,0
mcomm,growth,none,fe_country,y2009_2013,pop,share,50,50,0.18739657320288824,0.08116621873961836,0.26859615031854245,0,0.44,0
mcomm,growth,none,fe_twoway,all,n_cell,count,48,48,-0.16788230259523057,-0.27240791474267223,-0.11047634908595144,1,0.75,0.75
