outcome,pred_form,copredictor,estimator,sample,reg_weight,r_ca
mcomm,raw,other,re,no_GR_ES,none,-0.3935266304313866
mlib,raw,other,re,no_GR_ES,none,-0.1951488107329352
mpos,raw,other,re,no_GR_ES,none,-0.33668678515507394
mneg,raw,other,re,no_GR_ES,none,-0.38190051063697195
mcosmo,raw,other,pooled_cl,no_GR_ES,none,0.07839628207366951
mutil,raw,other,pooled_cl,no_GR_ES,none,0.01250343465546131
mcomm,raw,other,pooled_cl,no_GR_ES,none,0.09942104497947576
mlib,raw,other,pooled_cl,no_GR_ES,none,0.09695651847695091
mpos,raw,other,pooled_cl,no_GR_ES,none,0.06471376378090446
mneg,raw,other,pooled_cl,no_GR_ES,none,0.12787656694939778
mcosmo,raw,other,pooled_cl,no_GR_ES,n_cell,0.15125381973498406
mutil,raw,other,pooled_cl,no_GR_ES,n_cell,0.01968930969917706
mcomm,raw,other,pooled_cl,no_GR_ES,n_cell,0.11887283745239398
mlib,raw,other,pooled_cl,no_GR_ES,n_cell,0.15405780154388413
mpos,raw,other,pooled_cl,no_GR_ES,n_cell,0.12307117574604876
mneg,raw,other,pooled_cl,no_GR_ES,n_cell,0.1741764762057697
mcosmo,log,none,fe_twoway,all,none,-0.2255573698019983
mutil,log,none,fe_twoway,all,none,-0.24405134570851433
mcomm,log,none,fe_twoway,all,none,-0.5129132338162018
mlib,log,none,fe_twoway,all,none,0.02202172318310143
mpos,log,none,fe_twoway,all,none,-0.3074537785625004
mneg,log,none,fe_twoway,all,none,-0.39052022506790224
mcosmo,log,none,fe_twoway,all,n_cell,-0.16876090167734317
mutil,log,none,fe_twoway,all,n_cell,-0.275815017886952
mcomm,log,none,fe_twoway,all,n_cell,-0.5054903382039202
mlib,log,none,fe_twoway,all,n_cell,0.08532510236309923
mpos,log,none,fe_twoway,all,n_cell,-0.2724196358149597
mneg,log,none,fe_twoway,all,n_cell,-0.34478136946633187
mcosmo,log,none,fe_country,all,none,-0.405821904536474
mutil,log,none,fe_country,all,none,-0.4433199301381326
mcomm,log,none,fe_country,all,none,-0.5584714254045957
mlib,log,none,fe_country,all,none,-0.37215303637525377
mpos,log,none,fe_country,all,none,-0.523087795068532
mneg,log,none,fe_country,all,none,-0.5821986478185136
mcosmo,log,none,fe_country,all,n_cell,-0.3601253679373559
mutil,log,none,fe_country,all,n_cell,-0.4592345258886652
mcomm,log,none,fe_country,all,n_cell,-0.547309951631925
mlib,log,none,fe_country,all,n_cell,-0.3224568470452838
mpos,log,none,fe_country,all,n_cell,-0.49565850904557257
mneg,log,none,fe_country,all,n_cell,-0.5524662328257817
mcosmo,log,none,re,all,none,-0.3635863112676453
mutil,log,none,re,all,none,-0.4120441825767411
mcomm,log,none,re,all,none,-0.5189963643857055
mlib,log,none,re,all,none,-0.3370448272218503
mpos,log,none,re,all,none,-0.48371283377942026
mneg,log,none,re,all,none,-0.5353058624397058
mcosmo,log,none,pooled_cl,all,none,-0.02970593473677945
mutil,log,none,pooled_cl,all,none,-0.07034119809363777
mcomm,log,none,pooled_cl,all,none,0.0112846850041089
mlib,log,none,pooled_cl,all,none,0.06379731141302042
mpos,log,none,pooled_cl,all,none,-0.05403701212632479
mneg,log,none,pooled_cl,all,none,0.04804940646466731
mcosmo,log,none,pooled_cl,all,n_cell,0.05097666454868135
mutil,log,none,pooled_cl,all,n_cell,-0.04565421847438557
mcomm,log,none,pooled_cl,all,n_cell,0.02711514149178267
mlib,log,none,pooled_cl,all,n_cell,0.13890682494694148
mpos,log,none,pooled_cl,all,n_cell,0.01741900811583971
mneg,log,none,pooled_cl,all,n_cell,0.10679778408152196
mcosmo,log,none,fe_twoway,y2004_2008,none,-0.33874978653346005
mutil,log,none,fe_twoway,y2004_2008,none,-0.04456840075026522
mcomm,log,none,fe_twoway,y2004_2008,none,-0.3914391108724832
mlib,log,none,fe_twoway,y2004_2008,none,-0.2810840928856971
mpos,log,none,fe_twoway,y2004_2008,none,-0.35030438276622744
mneg,log,none,fe_twoway,y2004_2008,none,-0.4161652188156202
mcosmo,log,none,fe_twoway,y2004_2008,n_cell,-0.31956038883863114
mutil,log,none,fe_twoway,y2004_2008,n_cell,-0.06540865882168619
mcomm,log,none,fe_twoway,y2004_2008,n_cell,-0.4050095670888628
mlib,log,none,fe_twoway,y2004_2008,n_cell,-0.2444075348814596
mpos,log,none,fe_twoway,y2004_2008,n_cell,-0.3339889761305906
mneg,log,none,fe_twoway,y2004_2008,n_cell,-0.4121818502183856
mcosmo,log,none,fe_country,y2004_2008,none,-0.5090206925616427
mutil,log,none,fe_country,y2004_2008,none,0.2079362748402465
mcomm,log,none,fe_country,y2004_2008,none,-0.505435678470565
mlib,log,none,fe_country,y2004_2008,none,-0.2974523353543263
mpos,log,none,fe_country,y2004_2008,none,-0.4273048815537599
mneg,log,none,fe_country,y2004_2008,none,-0.5008136798927773
mcosmo,log,none,fe_country,y2004_2008,n_cell,-0.48669507945739104
mutil,log,none,fe_country,y2004_2008,n_cell,0.16334925466880537
mcomm,log,none,fe_country,y2004_2008,n_cell,-0.546466242941229
mlib,log,none,fe_country,y2004_2008,n_cell,-0.23092164782831812
mpos,log,none,fe_country,y2004_2008,n_cell,-0.41144526102174106
mneg,log,none,fe_country,y2004_2008,n_cell,-0.5060773923171955
mcosmo,log,none,re,y2004_2008,none,-0.3770742421799924
mutil,log,none,re,y2004_2008,none,0.1817222055241818
mcomm,log,none,re,y2004_2008,none,-0.4193285427655852
mlib,log,none,re,y2004_2008,none,-0.2506999478348962
mpos,log,none,re,y2004_2008,none,-0.3536882913877933
mneg,log,none,re,y2004_2008,none,-0.4246527682611368
mcosmo,log,none,pooled_cl,y2004_2008,none,0.11678459469016332
mutil,log,none,pooled_cl,y2004_2008,none,0.02859264911042433
mcomm,log,none,pooled_cl,y2004_2008,none,0.11392563279827124
mlib,log,none,pooled_cl,y2004_2008,none,0.07469060078555143
mpos,log,none,pooled_cl,y2004_2008,none,0.0979637056369444
mneg,log,none,pooled_cl,y2004_2008,none,0.11450810133174574
mcosmo,log,none,pooled_cl,y2004_2008,n_cell,0.1702541131698643
mutil,log,none,pooled_cl,y2004_2008,n_cell,-0.00467888817812952
mcomm,log,none,pooled_cl,y2004_2008,n_cell,0.04480512219879643
mlib,log,none,pooled_cl,y2004_2008,n_cell,0.11480471377166868
mpos,log,none,pooled_cl,y2004_2008,n_cell,0.11780075533449325
mneg,log,none,pooled_cl,y2004_2008,n_cell,0.09617007555718296
mcosmo,log,none,fe_twoway,y2009_2013,none,-0.4106548425026659
mutil,log,none,fe_twoway,y2009_2013,none,-0.3458707709016566
mcomm,log,none,fe_twoway,y2009_2013,none,-0.6175745562039178
mlib,log,none,fe_twoway,y2009_2013,none,0.00510016193813463
mpos,log,none,fe_twoway,y2009_2013,none,-0.4437015905554768
mneg,log,none,fe_twoway,y2009_2013,none,-0.4593591967964568
mcosmo,log,none,fe_twoway,y2009_2013,n_cell,-0.35085822981138454
mutil,log,none,fe_twoway,y2009_2013,n_cell,-0.3017404277184061
mcomm,log,none,fe_twoway,y2009_2013,n_cell,-0.5358130336339146
mlib,log,none,fe_twoway,y2009_2013,n_cell,0.02031615747208913
mpos,log,none,fe_twoway,y2009_2013,n_cell,-0.38745507729144146
mneg,log,none,fe_twoway,y2009_2013,n_cell,-0.38264900556298526
mcosmo,log,none,fe_country,y2009_2013,none,-0.5177859445454157
mutil,log,none,fe_country,y2009_2013,none,-0.48335221943535456
mcomm,log,none,fe_country,y2009_2013,none,-0.668812634971812
mlib,log,none,fe_country,y2009_2013,none,-0.2584193573138789
mpos,log,none,fe_country,y2009_2013,none,-0.5470665630724123
mneg,log,none,fe_country,y2009_2013,none,-0.5574960382511293
mcosmo,log,none,fe_country,y2009_2013,n_cell,-0.43054963116931905
mutil,log,none,fe_country,y2009_2013,n_cell,-0.4177970137961377
mcomm,log,none,fe_country,y2009_2013,n_cell,-0.582625762184245
mlib,log,none,fe_country,y2009_2013,n_cell,-0.18689333807335695
mpos,log,none,fe_country,y2009_2013,n_cell,-0.4673804652644317
mneg,log,none,fe_country,y2009_2013,n_cell,-0.462983838617628
mcosmo,log,none,re,y2009_2013,none,-0.42549141968256254
mutil,log,none,re,y2009_2013,none,-0.3626456768542416
mcomm,log,none,re,y2009_2013,none,-0.5978504347134452
mlib,log,none,re,y2009_2013,none,-0.1433268596057279
mpos,log,none,re,y2009_2013,none,-0.43370579576009755
mneg,log,none,re,y2009_2013,none,-0.4272502903739416
mcosmo,log,none,pooled_cl,y2009_2013,none,-0.03217251220098293
mutil,log,none,pooled_cl,y2009_2013,none,0.06630383524942278
mcomm,log,none,pooled_cl,y2009_2013,none,0.00355137406864886
mlib,log,none,pooled_cl,y2009_2013,none,0.26927990391727546
mpos,log,none,pooled_cl,y2009_2013,none,-0.00132146714540221
mneg,log,none,pooled_cl,y2009_2013,none,0.1744753432442425
mcosmo,log,none,pooled_cl,y2009_2013,n_cell,0.06973611226592014
mutil,log,none,pooled_cl,y2009_2013,n_cell,0.14412663388002517
mcomm,log,none,pooled_cl,y2009_2013,n_cell,0.05615886560939261
mlib,log,none,pooled_cl,y2009_2013,n_cell,0.383022669351442
mpos,log,none,pooled_cl,y2009_2013,n_cell,0.10712802728407916
mneg,log,none,pooled_cl,y2009_2013,n_cell,0.29199116443291345
mcosmo,log,none,fe_twoway,no_bailout,none,0.07284860150611475
mutil,log,none,fe_twoway,no_bailout,none,-0.20703106974579777
mcomm,log,none,fe_twoway,no_bailout,none,-0.30208701384694775
mlib,log,none,fe_twoway,no_bailout,none,0.1610647230021641
mpos,log,none,fe_twoway,no_bailout,none,-0.02638889010923371
mneg,log,none,fe_twoway,no_bailout,none,-0.1045431205614577
mcosmo,log,none,fe_twoway,no_bailout,n_cell,0.08807789100099642
mutil,log,none,fe_twoway,no_bailout,n_cell,-0.2278890086578312
mcomm,log,none,fe_twoway,no_bailout,n_cell,-0.32596061500927387
mlib,log,none,fe_twoway,no_bailout,n_cell,0.2247692190797468
mpos,log,none,fe_twoway,no_bailout,n_cell,-0.02056337732462111
mneg,log,none,fe_twoway,no_bailout,n_cell,-0.08201802459105809
mcosmo,log,none,fe_country,no_bailout,none,-0.17207217700254226
mutil,log,none,fe_country,no_bailout,none,-0.32929017573889574
mcomm,log,none,fe_country,no_bailout,none,-0.37532941765539574
mlib,log,none,fe_country,no_bailout,none,-0.2180410890948993
mpos,log,none,fe_country,no_bailout,none,-0.3133880406699446
mneg,log,none,fe_country,no_bailout,none,-0.38174964294811126
mcosmo,log,none,fe_country,no_bailout,n_cell,-0.15520621783465796
mutil,log,none,fe_country,no_bailout,n_cell,-0.3459491711561126
mcomm,log,none,fe_country,no_bailout,n_cell,-0.4046159691075843
mlib,log,none,fe_country,no_bailout,n_cell,-0.16002802678224984
mpos,log,none,fe_country,no_bailout,n_cell,-0.30210182890915666
mneg,log,none,fe_country,no_bailout,n_cell,-0.3702253173867278
mcosmo,log,none,re,no_bailout,none,-0.125511955265064
mutil,log,none,re,no_bailout,none,-0.29444302241983256
mcomm,log,none,re,no_bailout,none,-0.3229223899501157
mlib,log,none,re,no_bailout,none,-0.18566375954568937
mpos,log,none,re,no_bailout,none,-0.2676775042422161
mneg,log,none,re,no_bailout,none,-0.3344765923741991
mcosmo,log,none,pooled_cl,no_bailout,none,0.2341097212631095
mutil,log,none,pooled_cl,no_bailout,none,0.05620364658131802
mcomm,log,none,pooled_cl,no_bailout,none,0.2549005001605633
mlib,log,none,pooled_cl,no_bailout,none,0.13644912902162926
mpos,log,none,pooled_cl,no_bailout,none,0.2030451692753029
mneg,log,none,pooled_cl,no_bailout,none,0.23003572167524705
mcosmo,log,none,pooled_cl,no_bailout,n_cell,0.28792379838411386
mutil,log,none,pooled_cl,no_bailout,n_cell,0.07121016019294839
mcomm,log,none,pooled_cl,no_bailout,n_cell,0.2512669347569729
mlib,log,none,pooled_cl,no_bailout,n_cell,0.19969922353303352
mpos,log,none,pooled_cl,no_bailout,n_cell,0.2510482623310344
mneg,log,none,pooled_cl,no_bailout,n_cell,0.26752752909742034
mcosmo,log,none,fe_twoway,no_GR_ES,none,-0.15394997960043766
mutil,log,none,fe_twoway,no_GR_ES,none,-0.2644196702310024
mcomm,log,none,fe_twoway,no_GR_ES,none,-0.4640352331423931
mlib,log,none,fe_twoway,no_GR_ES,none,0.07713091308959896
mpos,log,none,fe_twoway,no_GR_ES,none,-0.25783701414367105
mneg,log,none,fe_twoway,no_GR_ES,none,-0.323546160283
mcosmo,log,none,fe_twoway,no_GR_ES,n_cell,-0.07328369187739622
mutil,log,none,fe_twoway,no_GR_ES,n_cell,-0.29194358106899315
mcomm,log,none,fe_twoway,no_GR_ES,n_cell,-0.4454767449057312
mlib,log,none,fe_twoway,no_GR_ES,n_cell,0.14365215189049152
mpos,log,none,fe_twoway,no_GR_ES,n_cell,-0.2000138587211004
mneg,log,none,fe_twoway,no_GR_ES,n_cell,-0.25716026869457753
mcosmo,log,none,fe_country,no_GR_ES,none,-0.3315146077142386
mutil,log,none,fe_country,no_GR_ES,none,-0.43475226358315255
mcomm,log,none,fe_country,no_GR_ES,none,-0.5086758714282578
mlib,log,none,fe_country,no_GR_ES,none,-0.30728449840346456
mpos,log,none,fe_country,no_GR_ES,none,-0.4779548699921084
mneg,log,none,fe_country,no_GR_ES,none,-0.5239123926387246
mcosmo,log,none,fe_country,no_GR_ES,n_cell,-0.26458615602388247
mutil,log,none,fe_country,no_GR_ES,n_cell,-0.44565830032525666
mcomm,log,none,fe_country,no_GR_ES,n_cell,-0.4887807489460927
mlib,log,none,fe_country,no_GR_ES,n_cell,-0.248418763018821
mpos,log,none,fe_country,no_GR_ES,n_cell,-0.4324696244575506
mneg,log,none,fe_country,no_GR_ES,n_cell,-0.47957951316363384
mcosmo,log,none,re,no_GR_ES,none,-0.29085433867262356
mutil,log,none,re,no_GR_ES,none,-0.4056142503780367
mcomm,log,none,re,no_GR_ES,none,-0.4651918735742368
mlib,log,none,re,no_GR_ES,none,-0.28054635804939654
mpos,log,none,re,no_GR_ES,none,-0.4400718377559817
mneg,log,none,re,no_GR_ES,none,-0.4804750459766348
mcosmo,log,none,pooled_cl,no_GR_ES,none,0.04638797172536604
mutil,log,none,pooled_cl,no_GR_ES,none,-0.06034638294521739
mcomm,log,none,pooled_cl,no_GR_ES,none,0.07378892620963712
mlib,log,none,pooled_cl,no_GR_ES,none,0.04290258791277653
mpos,log,none,pooled_cl,no_GR_ES,none,0.00627983556950877
mneg,log,none,pooled_cl,no_GR_ES,none,0.0753594812425866
mcosmo,log,none,pooled_cl,no_GR_ES,n_cell,0.1330234706150528
mutil,log,none,pooled_cl,no_GR_ES,n_cell,-0.03891755565227974
mcomm,log,none,pooled_cl,no_GR_ES,n_cell,0.09718596134806969
mlib,log,none,pooled_cl,no_GR_ES,n_cell,0.11675119821377762
mpos,log,none,pooled_cl,no_GR_ES,n_cell,0.08117386091942548
mneg,log,none,pooled_cl,no_GR_ES,n_cell,0.1352740431498333
mcosmo,log,other,fe_twoway,all,none,-0.2137119678586513
mutil,log,other,fe_twoway,all,none,-0.13991253410848875
mcomm,log,other,fe_twoway,all,none,-0.4547224869400902
mlib,log,other,fe_twoway,all,none,0.02529229924780875
mpos,log,other,fe_twoway,all,none,-0.25552874965082667
mneg,log,other,fe_twoway,all,none,-0.3364462445629796
mcosmo,log,other,fe_twoway,all,n_cell,-0.15989836963876428
mutil,log,other,fe_twoway,all,n_cell,-0.18177724819843152
mcomm,log,other,fe_twoway,all,n_cell,-0.4486403562510756
mlib,log,other,fe_twoway,all,n_cell,0.08043763978996932
mpos,log,other,fe_twoway,all,n_cell,-0.22373658050415332
mneg,log,other,fe_twoway,all,n_cell,-0.29320364675777855
mcosmo,log,other,fe_country,all,none,-0.414752174385593
mutil,log,other,fe_country,all,none,-0.3465456606875389
mcomm,log,other,fe_country,all,none,-0.5334729086447453
mlib,log,other,fe_country,all,none,-0.32725777010584756
mpos,log,other,fe_country,all,none,-0.4877578187977421
mneg,log,other,fe_country,all,none,-0.545363290458648
mcosmo,log,other,fe_country,all,n_cell,-0.3602730035393117
mutil,log,other,fe_country,all,n_cell,-0.37388766247182
mcomm,log,other,fe_country,all,n_cell,-0.5217532448600157
mlib,log,other,fe_country,all,n_cell,-0.2754753347426485
mpos,log,other,fe_country,all,n_cell,-0.4554201222119481
mneg,log,other,fe_country,all,n_cell,-0.5128259148052955
mcosmo,log,other,re,all,none,-0.3525972160488806
mutil,log,other,re,all,none,-0.31379498015865775
mcomm,log,other,re,all,none,-0.4694889119559009
mlib,log,other,re,all,none,-0.2929250770802825
mpos,log,other,re,all,none,-0.4311925097530287
mneg,log,other,re,all,none,-0.48290834917644176
mcosmo,log,other,pooled_cl,all,none,0.01210878467323008
mutil,log,other,pooled_cl,all,none,0.00101648100119817
mcomm,log,other,pooled_cl,all,none,0.08009146059197773
mlib,log,other,pooled_cl,all,none,0.094028234515401
mpos,log,other,pooled_cl,all,none,0.00956957524320752
mneg,log,other,pooled_cl,all,none,0.11473790737256058
mcosmo,log,other,pooled_cl,all,n_cell,0.08906176643679983
mutil,log,other,pooled_cl,all,n_cell,0.01383943450604874
mcomm,log,other,pooled_cl,all,n_cell,0.08964910829200544
mlib,log,other,pooled_cl,all,n_cell,0.16048560951937738
mpos,log,other,pooled_cl,all,n_cell,0.07337254926692925
mneg,log,other,pooled_cl,all,n_cell,0.1626949759331155
mcosmo,log,other,fe_twoway,y2004_2008,none,-0.39069880196231016
mutil,log,other,fe_twoway,y2004_2008,none,0.01684992112871222
mcomm,log,other,fe_twoway,y2004_2008,none,-0.38814821850503006
mlib,log,other,fe_twoway,y2004_2008,none,-0.2981744744752939
mpos,log,other,fe_twoway,y2004_2008,none,-0.37061712620311993
mneg,log,other,fe_twoway,y2004_2008,none,-0.4230224144737889
mcosmo,log,other,fe_twoway,y2004_2008,n_cell,-0.3937650978795956
mutil,log,other,fe_twoway,y2004_2008,n_cell,0.00112585803129582
mcomm,log,other,fe_twoway,y2004_2008,n_cell,-0.4020648842101532
mlib,log,other,fe_twoway,y2004_2008,n_cell,-0.2864479806868025
mpos,log,other,fe_twoway,y2004_2008,n_cell,-0.3676116975307828
mneg,log,other,fe_twoway,y2004_2008,n_cell,-0.4326157853909073
mcosmo,log,other,fe_country,y2004_2008,none,-0.5164553095265728
mutil,log,other,fe_country,y2004_2008,none,0.22801829748670197
mcomm,log,other,fe_country,y2004_2008,none,-0.5066804651467173
mlib,log,other,fe_country,y2004_2008,none,-0.29570681974485735
mpos,log,other,fe_country,y2004_2008,none,-0.4267544624542862
mneg,log,other,fe_country,y2004_2008,none,-0.5006091908310545
mcosmo,log,other,fe_country,y2004_2008,n_cell,-0.4892322727736699
mutil,log,other,fe_country,y2004_2008,n_cell,0.16080201170735806
mcomm,log,other,fe_country,y2004_2008,n_cell,-0.545705541089299
mlib,log,other,fe_country,y2004_2008,n_cell,-0.23060687244179068
mpos,log,other,fe_country,y2004_2008,n_cell,-0.4106826163272369
mneg,log,other,fe_country,y2004_2008,n_cell,-0.5052809895858549
mcosmo,log,other,re,y2004_2008,none,-0.3745189923136305
mutil,log,other,re,y2004_2008,none,0.18846061163499825
mcomm,log,other,re,y2004_2008,none,-0.3971172585974376
mlib,log,other,re,y2004_2008,none,-0.24833275501451055
mpos,log,other,re,y2004_2008,none,-0.3318974160343094
mneg,log,other,re,y2004_2008,none,-0.4109033195583633
mcosmo,log,other,pooled_cl,y2004_2008,none,0.09934143395770952
mutil,log,other,pooled_cl,y2004_2008,none,-0.02514322787950936
mcomm,log,other,pooled_cl,y2004_2008,none,0.08020562554582301
mlib,log,other,pooled_cl,y2004_2008,none,0.05647706542799792
mpos,log,other,pooled_cl,y2004_2008,none,0.06120782027113431
mneg,log,other,pooled_cl,y2004_2008,none,0.08368724339100796
mcosmo,log,other,pooled_cl,y2004_2008,n_cell,0.1538415482603523
mutil,log,other,pooled_cl,y2004_2008,n_cell,-0.07454128654080631
mcomm,log,other,pooled_cl,y2004_2008,n_cell,0.00193697869733831
mlib,log,other,pooled_cl,y2004_2008,n_cell,0.09404409210430444
mpos,log,other,pooled_cl,y2004_2008,n_cell,0.07775085448463147
mneg,log,other,pooled_cl,y2004_2008,n_cell,0.0600465387316702
mcosmo,log,other,fe_twoway,y2009_2013,none,-0.3171790578368997
mutil,log,other,fe_twoway,y2009_2013,none,-0.26447111937398704
mcomm,log,other,fe_twoway,y2009_2013,none,-0.5402734744137121
mlib,log,other,fe_twoway,y2009_2013,none,0.0871418148877021
mpos,log,other,fe_twoway,y2009_2013,none,-0.34722694335229015
mneg,log,other,fe_twoway,y2009_2013,none,-0.3534773444990454
mcosmo,log,other,fe_twoway,y2009_2013,n_cell,-0.2742912085108279
mutil,log,other,fe_twoway,y2009_2013,n_cell,-0.23293211616012735
mcomm,log,other,fe_twoway,y2009_2013,n_cell,-0.4682263352537143
mlib,log,other,fe_twoway,y2009_2013,n_cell,0.09535769981072284
mpos,log,other,fe_twoway,y2009_2013,n_cell,-0.3066135311566516
mneg,log,other,fe_twoway,y2009_2013,n_cell,-0.28945008219994955
mcosmo,log,other,fe_country,y2009_2013,none,-0.5342828372837922
mutil,log,other,fe_country,y2009_2013,none,-0.5096990358078441
mcomm,log,other,fe_country,y2009_2013,none,-0.6680531214497057
mlib,log,other,fe_country,y2009_2013,none,-0.29232443290620813
mpos,log,other,fe_country,y2009_2013,none,-0.5695516908415926
mneg,log,other,fe_country,y2009_2013,none,-0.575541451716913
mcosmo,log,other,fe_country,y2009_2013,n_cell,-0.4415836318808592
mutil,log,other,fe_country,y2009_2013,n_cell,-0.4354022865438364
mcomm,log,other,fe_country,y2009_2013,n_cell,-0.5814441456372905
mlib,log,other,fe_country,y2009_2013,n_cell,-0.2072525305035998
mpos,log,other,fe_country,y2009_2013,n_cell,-0.48236485063061024
mneg,log,other,fe_country,y2009_2013,n_cell,-0.4746248661662936
mcosmo,log,other,re,y2009_2013,none,-0.432885788333121
mutil,log,other,re,y2009_2013,none,-0.3974251139831107
mcomm,log,other,re,y2009_2013,none,-0.5674352772726806
mlib,log,other,re,y2009_2013,none,-0.1850686056516808
mpos,log,other,re,y2009_2013,none,-0.45234927406613706
mneg,log,other,re,y2009_2013,none,-0.4271838304226518
mcosmo,log,other,pooled_cl,y2009_2013,none,-0.02025396077697879
mutil,log,other,pooled_cl,y2009_2013,none,0.04553831074006292
mcomm,log,other,pooled_cl,y2009_2013,none,0.04574091322005585
mlib,log,other,pooled_cl,y2009_2013,none,0.24045960857392332
mpos,log,other,pooled_cl,y2009_2013,none,4.815643482203313e-4
mneg,log,other,pooled_cl,y2009_2013,none,0.18503941667783175
mcosmo,log,other,pooled_cl,y2009_2013,n_cell,0.09166990095076524
mutil,log,other,pooled_cl,y2009_2013,n_cell,0.12500780496299302
mcomm,log,other,pooled_cl,y2009_2013,n_cell,0.11009340844833287
mlib,log,other,pooled_cl,y2009_2013,n_cell,0.3567808209010625
mpos,log,other,pooled_cl,y2009_2013,n_cell,0.11717459906292478
mneg,log,other,pooled_cl,y2009_2013,n_cell,0.30662754049100693
mcosmo,log,other,fe_twoway,no_bailout,none,0.01548651848348415
mutil,log,other,fe_twoway,no_bailout,none,-0.12472936837545616
mcomm,log,other,fe_twoway,no_bailout,none,-0.29104715079362603
mlib,log,other,fe_twoway,no_bailout,none,0.14732000953960656
mpos,log,other,fe_twoway,no_bailout,none,-0.04142386739703008
mneg,log,other,fe_twoway,no_bailout,none,-0.10518678878161224
mcosmo,log,other,fe_twoway,no_bailout,n_cell,0.03539586313888651
mutil,log,other,fe_twoway,no_bailout,n_cell,-0.15150985717710852
mcomm,log,other,fe_twoway,no_bailout,n_cell,-0.30560330817855136
mlib,log,other,fe_twoway,no_bailout,n_cell,0.19883033586914808
mpos,log,other,fe_twoway,no_bailout,n_cell,-0.03322567867410304
mneg,log,other,fe_twoway,no_bailout,n_cell,-0.08424300741724497
mcosmo,log,other,fe_country,no_bailout,none,-0.21937302285841528
mutil,log,other,fe_country,no_bailout,none,-0.2710159157113786
mcomm,log,other,fe_country,no_bailout,none,-0.40843603397875766
mlib,log,other,fe_country,no_bailout,none,-0.19834647439381473
mpos,log,other,fe_country,no_bailout,none,-0.3152110749304077
mneg,log,other,fe_country,no_bailout,none,-0.38450423426248015
mcosmo,log,other,fe_country,no_bailout,n_cell,-0.18594779555376725
mutil,log,other,fe_country,no_bailout,n_cell,-0.31012328162250485
mcomm,log,other,fe_country,no_bailout,n_cell,-0.4255018396114137
mlib,log,other,fe_country,no_bailout,n_cell,-0.1452113419445864
mpos,log,other,fe_country,no_bailout,n_cell,-0.3002986714852564
mneg,log,other,fe_country,no_bailout,n_cell,-0.36976015337512846
mcosmo,log,other,re,no_bailout,none,-0.16212577136945283
mutil,log,other,re,no_bailout,none,-0.2378846523263998
mcomm,log,other,re,no_bailout,none,-0.35019752356017664
mlib,log,other,re,no_bailout,none,-0.16364776470914794
mpos,log,other,re,no_bailout,none,-0.2605430852370984
mneg,log,other,re,no_bailout,none,-0.33004544970752175
mcosmo,log,other,pooled_cl,no_bailout,none,0.23559487388888037
mutil,log,other,pooled_cl,no_bailout,none,0.06426030122560415
mcomm,log,other,pooled_cl,no_bailout,none,0.25850337953916164
mlib,log,other,pooled_cl,no_bailout,none,0.14175428762000017
mpos,log,other,pooled_cl,no_bailout,none,0.2091654760264788
mneg,log,other,pooled_cl,no_bailout,none,0.23658390533228948
mcosmo,log,other,pooled_cl,no_bailout,n_cell,0.28532865824434916
mutil,log,other,pooled_cl,no_bailout,n_cell,0.05928266370831593
mcomm,log,other,pooled_cl,no_bailout,n_cell,0.24710258282683228
mlib,log,other,pooled_cl,no_bailout,n_cell,0.19420991173219437
mpos,log,other,pooled_cl,no_bailout,n_cell,0.24616600547288384
mneg,log,other,pooled_cl,no_bailout,n_cell,0.26292537762686535
mcosmo,log,other,fe_twoway,no_GR_ES,none,-0.16860498635518026
mutil,log,other,fe_twoway,no_GR_ES,none,-0.15940003536090794
mcomm,log,other,fe_twoway,no_GR_ES,none,-0.41689830974266257
mlib,log,other,fe_twoway,no_GR_ES,none,0.07763435806504286
mpos,log,other,fe_twoway,no_GR_ES,none,-0.2248901285736331
mneg,log,other,fe_twoway,no_GR_ES,none,-0.28129156194454474
mcosmo,log,other,fe_twoway,no_GR_ES,n_cell,-0.09450125547776048
mutil,log,other,fe_twoway,no_GR_ES,n_cell,-0.2030935213295707
mcomm,log,other,fe_twoway,no_GR_ES,n_cell,-0.4035175953329012
mlib,log,other,fe_twoway,no_GR_ES,n_cell,0.1348957987664733
mpos,log,other,fe_twoway,no_GR_ES,n_cell,-0.17477501075361124
mneg,log,other,fe_twoway,no_GR_ES,n_cell,-0.2238886329018109
mcosmo,log,other,fe_country,no_GR_ES,none,-0.35641150544133027
mutil,log,other,fe_country,no_GR_ES,none,-0.34252247884265663
mcomm,log,other,fe_country,no_GR_ES,none,-0.49293540359392246
mlib,log,other,fe_country,no_GR_ES,none,-0.27002242736208676
mpos,log,other,fe_country,no_GR_ES,none,-0.4504107603992909
mneg,log,other,fe_country,no_GR_ES,none,-0.4946079572605283
mcosmo,log,other,fe_country,no_GR_ES,n_cell,-0.2864892267719544
mutil,log,other,fe_country,no_GR_ES,n_cell,-0.3763396927816507
mcomm,log,other,fe_country,no_GR_ES,n_cell,-0.4801458716868811
mlib,log,other,fe_country,no_GR_ES,n_cell,-0.2147185299592151
mpos,log,other,fe_country,no_GR_ES,n_cell,-0.40766869321758775
mneg,log,other,fe_country,no_GR_ES,n_cell,-0.45463982081779286
mcosmo,log,other,re,no_GR_ES,none,-0.2952508151979482
mutil,log,other,re,no_GR_ES,none,-0.31253593252658424
mcomm,log,other,re,no_GR_ES,none,-0.43070828512899334
