"Timestamp","spec","b","se","t","df","n","r"
"16/06/2026 12:22:27","mcosmo ~ unemp_c | twoway-FE | all 2004–2013","-0.00347","0.00091","-3.804","233","270","-0.242"
"16/06/2026 12:24:29","mcosmo ~ unemp_c | twoway-FE | all 2004–2013","-0.00347","0.00091","-3.804","233","270","-0.242"
"16/06/2026 12:31:14","mcosmo ~ unemp_c | feols_tw | all","-0.00808","0.00211","-3.834","102","135","-0.355"
"16/06/2026 12:31:16","mcosmo ~ unemp_c | feols_tw | all","-0.00356","0.00098","-3.621","232","270","-0.231"
"16/06/2026 12:31:21","mcosmo ~ unemp_c | feols_tw | all","-0.00356","0.00098","-3.621","232","270","-0.231"
"16/06/2026 12:37:35","mcosmo ~ unemp_c | feols_tw | all","-0.00068","0.00042","-1.606","232","270","-0.105"
