"outcome","pred_form","copredictor","estimator","sample","weights","family","predictor","estimate","se","statistic","df","n","r","conf_low","conf_high","positive_outcome","sig","supports_claim","baseline"
"mcosmo","raw","none","re","no_bailout","none","gaussian","unemp",-0.0013452140064871,0.00132721225486997,-1.0135635815229,188,190,-0.0737205758838483,-0.00396335610654036,0.00127292809356616,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","none","re","no_GR_ES","none","gaussian","unemp",-0.0040387534532215,0.00101586158081494,-3.97569268244352,248,250,-0.24477686210224,-0.00603956969024874,-0.00203793721619426,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","none","pooled_cl","all","none","gaussian","unemp",-0.00109756688838125,0.00219532750977191,-0.499955876057548,268,270,-0.0305254340115491,-0.00541984881325963,0.00322471503649713,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","none","pooled_cl","all","n_cy","gaussian","unemp",0.000173297579338261,0.0023844440716123,0.0726783997164927,268,270,0.00443949610509466,-0.00452132746669147,0.00486792262536799,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","y2004_2008","none","gaussian","unemp",0.0028031290863793,0.0032137585413226,0.872227658156824,133,135,0.0754163406709394,-0.00355356082074494,0.00915981899350356,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","y2004_2008","n_cy","gaussian","unemp",0.00389391539118511,0.00343187942456394,1.13463059433677,133,135,0.0979122157591782,-0.00289420917389655,0.0106820399562668,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","y2009_2013","none","gaussian","unemp",-0.00133222152877562,0.00251955302127617,-0.528753123084049,133,135,-0.0458005969012804,-0.00631579980787664,0.00365135675032538,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","none","pooled_cl","y2009_2013","n_cy","gaussian","unemp",0.000175610123395259,0.00274842598133293,0.0638947981819366,133,135,0.00554029661908305,-0.00526067000511342,0.00561189025190394,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","no_bailout","none","gaussian","unemp",0.00597275046312717,0.00315336154151127,1.89408996859418,188,190,0.136841218194676,-0.00024776820540209,0.0121932691316564,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","no_bailout","n_cy","gaussian","unemp",0.00739082806154745,0.00314298507224555,2.35153139186466,188,190,0.169035128923551,0.00119077866681729,0.0135908774562776,TRUE,TRUE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","no_GR_ES","none","gaussian","unemp",0.00115780907692042,0.00292303802121869,0.396097850426764,248,250,0.0251442863327148,-0.0045993354442953,0.00691495359813615,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","none","pooled_cl","no_GR_ES","n_cy","gaussian","unemp",0.00297345830549261,0.00290201594012866,1.0246181850265,248,250,0.0649260413278751,-0.00274228163661964,0.00868919824760487,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","fe_twoway","all","none","gaussian","unemp",-0.003560929397102,0.000983458981985486,-3.62082147026906,232,270,-0.231273721305104,-0.0054985815259439,-0.00162327726826009,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","all","n_cy","gaussian","unemp",-0.00269722930974059,0.000923804371307163,-2.91969749604462,232,270,-0.188260009667028,-0.00451734742293629,-0.000877111196544901,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","y2004_2008","none","gaussian","unemp",-0.008076383226124,0.00210652492883458,-3.83398416775072,102,135,-0.354908122805409,-0.0122546654345119,-0.0038981010177361,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","y2004_2008","n_cy","gaussian","unemp",-0.00726777934364099,0.00197037454516508,-3.68852681408959,102,135,-0.34305535568367,-0.0111760079115689,-0.00335955077571305,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","y2009_2013","none","gaussian","unemp",-0.00502938885627265,0.00119369672109404,-4.21328865816363,102,135,-0.385017249217701,-0.00739708064272474,-0.00266169706982055,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","y2009_2013","n_cy","gaussian","unemp",-0.00416517808383234,0.00116225763940309,-3.58369602627131,102,135,-0.334409905304576,-0.00647051060081686,-0.00185984556684782,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","no_bailout","none","gaussian","unemp",0.00090332675295698,0.00145760752059764,0.619732500135975,160,190,0.0489354582098635,-0.0019753046133402,0.00378195811925416,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","fe_twoway","no_bailout","n_cy","gaussian","unemp",0.00127360971876974,0.00136174726714594,0.935276133462765,160,190,0.0737387754407947,-0.00141570708344359,0.00396292652098307,TRUE,FALSE,FALSE,FALSE
"mcosmo","raw","growth","fe_twoway","no_GR_ES","none","gaussian","unemp",-0.00219015321152816,0.00121160402574928,-1.80764768437752,214,250,-0.122635530892104,-0.00457835954651153,0.00019805312345521,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","growth","fe_twoway","no_GR_ES","n_cy","gaussian","unemp",-0.00075502511688159,0.00110362684647038,-0.68413079955087,214,250,-0.0467151617034057,-0.0029303964182177,0.00142034618445453,TRUE,FALSE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","all","none","gaussian","unemp",-0.00619353553818512,0.000884375900794102,-7.00328393460723,241,270,-0.411214390696596,-0.00793562890063466,-0.00445144217573559,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","all","n_cy","gaussian","unemp",-0.00513168258607803,0.000839481471607254,-6.11291941471087,241,270,-0.366386265115097,-0.00678534037828289,-0.00347802479387316,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","y2004_2008","none","gaussian","unemp",-0.00977224947271801,0.0017042879323637,-5.73391930268772,106,135,-0.486558556861716,-0.0131511660606823,-0.00639333288475374,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","y2004_2008","n_cy","gaussian","unemp",-0.00848753702372453,0.00162228520829025,-5.23184023398059,106,135,-0.453024712711383,-0.0117038752354835,-0.0052711988119656,TRUE,TRUE,TRUE,FALSE
"mcosmo","raw","growth","fe_country","y2009_2013","none","gaussian","unemp",-0.00866555783978087,0.0012568899592327,-6.89444431958938,106,135,-0.556413793812228,-0.0111574644312962,-0.00617365124826555,TRUE,TRUE,TRUE,FALSE
