class,main_effect_share,nested_share,rows,universe,interaction_share,pinned_cells,pinned_cross,pinned_variants,loose_blocks,loose_cross,construction_class
estimand,30.822743356203542,85.02068434239037,434304,maximal,67.69124658576214,3120,1600,240,24,24,estimand
measurement,0.9170753125876598,8.008067916269546,434304,maximal,67.69124658576214,3120,1600,240,24,24,estimand
estimation,0.5689347454466548,6.971247741340088,434304,maximal,67.69124658576214,3120,1600,240,24,24,estimand
estimand,30.68729021654731,68.52214929168844,434304,maximal,67.69124658576214,1560,1121,480,24,24,measurement
measurement,1.0525284522438936,24.506602966971478,434304,maximal,67.69124658576214,1560,1121,480,24,24,measurement
estimation,0.5689347454466548,6.971247741340088,434304,maximal,67.69124658576214,1560,1121,480,24,24,measurement
