engine,outcome,copredictor,sample,estimator,reg_weight,se,estimate,std_error,statistic,df,n,fmi,m,predictor,construction,item_set,noop,cell_weight,measure,pred_form,family,positive_outcome,p,sig,supports_claim,r,r_ca
mice_pmm,mcosmo,none,all,fe_twoway,none,conventional,-0.004100186788164411,8.741325980576629e-4,-4.690577604902384,227.56247570701552,270,0.014160327761014798,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,4.6992251809071224e-6,TRUE,TRUE,-0.2969172038324071,-0.2969172038324071
mice_pmm,mcosmo,none,all,fe_twoway,none,clustered,-0.004100186788164411,0.001370552203125677,-2.991631240906795,228.50153023966953,270,0.010787446905414224,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.0030792523980287235,TRUE,TRUE,-0.19414253844212517,-0.19414253844212517
mice_pmm,mutil,none,all,fe_twoway,none,conventional,-0.0014544531092338699,4.066352078410147e-4,-3.576800732420909,227.46065216282256,270,0.014499346026124849,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,4.248831476984821e-4,TRUE,TRUE,-0.23075934184374597,-0.23075934184374597
mice_pmm,mutil,none,all,fe_twoway,none,clustered,-0.0014544531092338699,5.422333409564008e-4,-2.6823380256707923,228.21674289609538,270,0.011862845997826822,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,0.007845586931096478,TRUE,TRUE,-0.17482337609650933,-0.17482337609650933
mice_pmm,mcomm,none,all,fe_twoway,none,conventional,0.005624110115581977,6.739301621233471e-4,8.345241735229854,227.8832482569266,270,0.01306126275082092,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,6.855440541424685e-15,TRUE,TRUE,0.48381155314505714,-0.48381155314505714
mice_pmm,mcomm,none,all,fe_twoway,none,clustered,0.005624110115581977,0.0013397470654613183,4.197889482702777,228.7914648273882,270,0.009635178002517225,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,3.858540212341744e-5,TRUE,TRUE,0.26742286655003233,-0.26742286655003233
mice_pmm,mlib,none,all,fe_twoway,none,conventional,-6.953776840957253e-5,5.081378298602866e-4,-0.1368482414086195,224.60373722593147,270,0.022658971375011657,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.8912733390383812,FALSE,FALSE,-0.009130879820627628,0.009130879820627628
mice_pmm,mlib,none,all,fe_twoway,none,clustered,-6.953776840957253e-5,0.0010547808738152885,-0.06592626974552998,228.24281663820648,270,0.011766497120560528,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,FALSE,0.9474942345353978,FALSE,FALSE,-0.00436370927874268,0.00436370927874268
mice_pmm,mpos,none,all,fe_twoway,none,conventional,-0.005554639897398281,9.1351535720772e-4,-6.080510692646447,227.78505290709685,270,0.013402947205201233,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,5.004845610752722e-9,TRUE,TRUE,-0.373693709152705,-0.373693709152705
mice_pmm,mpos,none,all,fe_twoway,none,clustered,-0.005554639897398281,0.001344818032709876,-4.130402598934074,228.5115436418924,270,0.010748668348392635,10,unemp,share,all,mi,unweighted,wb_nat,raw,gaussian,TRUE,5.080963678858473e-5,TRUE,TRUE,-0.263574363064451,-0.263574363064451
