cntry,year,w_mcosmo,w_mutil,w_mcomm,w_mlib,w_mpos,w_mneg,c_mcosmo,c_mutil,c_mcomm,c_mlib,c_mpos,c_mneg,wc_mcosmo,wc_mutil,wc_mcomm,wc_mlib,wc_mpos,wc_mneg,n_cy,mean_items,n_eff,deff,n_noop,n_dk,n_other,n_blank,noop_rate,pop_total,pop_15plus
EE,2007,0.6184102520501648,0.09807381424516748,0.10386831532777999,0.11388054195496755,0.7164840662953322,0.21774885728274757,1.8437810945273632,0.354228855721393,0.35124378109452736,0.3661691542288557,2.198009950248756,0.7174129353233831,1.893022903620832,0.38543239326872497,0.35308109476404087,0.382265422737531,2.278455296889557,0.735346517501572,1005,2.915422885572139,920.4211465363129,1.0918914714008585,78,54,19,5,0.07761194029850746,1340680,1141549
EE,2008,0.6141645976583004,0.07645485072160312,0.12061435575442575,0.11191159438820078,0.6906194483799036,0.23252595014262653,1.5702891326021935,0.25324027916251246,0.3748753738783649,0.32951146560319045,1.8235294117647058,0.7043868394815553,1.590615888259055,0.2516759496649297,0.3720227398146657,0.3275524340265713,1.8422918379239848,0.699575173841237,2006,2.5279162512462614,1867.8576455770467,1.0739576459427005,172,147,10,15,0.08574277168494517,1337090,1138038
EE,2009,0.6134808258169007,0.07629677634811881,0.1340638264955643,0.11489752190734188,0.6897776021650195,0.2489613484029062,1.5169660678642714,0.23552894211576847,0.4091816367265469,0.35528942115768464,1.7524950099800398,0.7644710578842315,1.5301668507656507,0.238621425289412,0.40257916888390505,0.3479526689296138,1.7687882760550628,0.7505318378135188,1002,2.5169660678642716,964.2570993265593,1.039141947411951,65,49,6,10,0.06487025948103792,1334515,1133862
EE,2010,0.5872824699950048,0.07070717281570252,0.1435866417622572,0.1235180817195004,0.6579896428107073,0.2671047234817576,1.4505,0.217,0.428,0.3525,1.6675,0.7805,1.4594911067709981,0.224764951144228,0.42134263960418783,0.35318960893532403,1.6842560579152261,0.7745322485395117,2000,2.448,1924.3296080009047,1.0393229889954796,160,119,10,31,0.08,1331475,1128611
EE,2011,0.5478243324737108,0.05943135614926256,0.15657433170204915,0.1527418009153506,0.6072556886229733,0.3093161326173997,1.2596105841238143,0.17324013979031452,0.4423364952571143,0.4058911632551173,1.4328507239141288,0.8482276585122317,1.2906638001605497,0.18239443226019586,0.43684907193269845,0.39268318023017423,1.4730582324207453,0.8295322521628726,2003,2.2810783824263603,1864.1990181824633,1.074456096405878,179,83,42,54,0.08936595107338992,1327439,1122577
EE,2012,0.5726543866017041,0.057715564992715906,0.1266631328461788,0.1734154225736584,0.63036995159442,0.30007855541983725,1.2810783824263605,0.15227159261108336,0.37144283574638043,0.45332001997004495,1.4333499750374439,0.8247628557164254,1.322476671967925,0.16415577463984182,0.36575046746738377,0.44694570676131584,1.4866324466077667,0.8126961742286996,2003,2.2581128307538694,1842.8914528484663,1.0868789894836517,163,84,34,45,0.08137793310034948,1322696,1116470
EE,2013,0.5637752806986668,0.04639809176234942,0.11819474573366706,0.17622874921608528,0.6101733724610162,0.29442349494975234,1.156686626746507,0.12674650698602793,0.29740518962075846,0.41317365269461076,1.2834331337325349,0.7105788423153693,1.2000621958943123,0.1335366409865754,0.29794408237802283,0.39350050908417344,1.3335988368808878,0.6914445914621963,1002,1.9940119760479043,906.54290864559,1.1052979295784537,109,57,11,41,0.10878243512974052,1317997,1110561
ES,2004,0.5602826046806894,0.15696779071178718,0.09691604421114244,0.07341317412198078,0.7172503953924766,0.1703292183331232,1.5126050420168067,0.4611962432031636,0.28027681660899656,0.18339100346020762,1.9738012852199704,0.46366782006920415,1.5332196112678664,0.47299610089420063,0.27815005450067953,0.18520038261943644,2.006215712162067,0.463350437120116,2023,2.4374691052891744,1951.9290911746211,1.0364105997224573,235,61,27,147,0.11616411270390509,42921895,36689944
ES,2005,0.5244454204428747,0.11689512459556024,0.09643032310042463,0.07317959265870992,0.641340545038435,0.16960991575913453,1.2108876900441392,0.3128984796468857,0.24276606179499755,0.1844041196665032,1.523786169691025,0.4271701814615007,1.2347500901546067,0.3239697767132894,0.24203420965785485,0.18502314838769038,1.558719866867896,0.4270573580455452,2039,1.9509563511525259,1933.4575389746938,1.0545874211860247,414,172,52,190,0.2030407062285434,43653155,37320941
ES,2006,0.5094515217496457,0.13252989282922384,0.0772015741745551,0.056580599982789526,0.6419814145788696,0.13378217415734464,1.099502487562189,0.3174129353233831,0.208955223880597,0.15422885572139303,1.416915422885572,0.36318407960199006,1.1306613805522758,0.3278273842987517,0.20816533130719292,0.1512273957216623,1.4584887648510276,0.35939272702885516,1005,1.780099502487562,933.1888617039807,1.076952416861142,238,119,52,67,0.23681592039800994,44397319,37940555
ES,2007,0.5173439455173879,0.126736377618408,0.10980035814580713,0.07285063456323895,0.644080323135796,0.18265099270904606,1.071,0.29,0.253,0.156,1.361,0.409,1.1214281085725395,0.29449259321777627,0.26164347205566707,0.16413980606446543,1.4159207017903157,0.42578327812013256,1000,1.77,914.1266331340146,1.0939403401600662,185,55,53,77,0.185,45226803,38626022
ES,2008,0.5127423305949206,0.10213994729672062,0.14413979688947606,0.0742584137975786,0.6148822778916412,0.21839821068705467,1.0600098376783078,0.22085587801278897,0.323659616330546,0.1485489424495819,1.280865715691097,0.4722085587801279,1.0953494812343734,0.23260901751550295,0.3312493021393517,0.14982506139943993,1.3279584987498765,0.4810743635387917,2033,1.7530742744712249,1917.9261747097983,1.0599990900627934,374,98,67,209,0.1839645843580915,45954106,39205730
ES,2009,0.5988834416810858,0.18362721245737879,0.05521995770440701,0.07250639047094586,0.7825106541384644,0.12772634817535286,1.296078431372549,0.396078431372549,0.13333333333333333,0.1588235294117647,1.692156862745098,0.29215686274509806,1.3056390929161266,0.4001830583389632,0.13616228662924126,0.1684230835859552,1.7058221512550897,0.3045853702151965,1020,1.9843137254901961,983.270514170873,1.0373544058321515,93,30,21,42,0.09117647058823529,46362946,39495730
ES,2010,0.46467082751063427,0.10185991678753666,0.15842397400925678,0.13559013050379345,0.566530744298171,0.2940141045130502,0.9815645241654211,0.2406576980568012,0.30543099152964626,0.25909317389138015,1.2222222222222223,0.5645241654210265,0.9961299467344508,0.24595311571375558,0.3113546342383122,0.26054294547366397,1.2420830624482062,0.5718975797119762,2007,1.7867463876432486,1970.5326586375852,1.0185063369554241,290,55,15,220,0.14449427005480817,46576897,39626899
ES,2011,0.4580694995946019,0.08820267339617559,0.16862806677477937,0.1504531202137201,0.5462721729907776,0.31908118698849947,1.0079443892750746,0.22641509433962265,0.3728897715988083,0.2984111221449851,1.2343594836146972,0.6713008937437934,1.0165915909914354,0.22760409795460265,0.367362332118713,0.3009490463731674,1.244195688946038,0.6683113784918804,2014,1.9056603773584906,1977.9128552003633,1.0182450630748243,278,75,28,175,0.13803376365441908,46742697,39727107
ES,2012,0.42326993000291463,0.0839402247089588,0.14901480373577983,0.19295866442444867,0.5072101547118735,0.3419734681602285,0.8707753479125249,0.1824055666003976,0.32803180914512925,0.3797216699801193,1.0531809145129225,0.7077534791252486,0.8780887073754763,0.18321644294080158,0.32474727934242437,0.3808896523543502,1.0613051503162778,0.7056369316967745,2012,1.760934393638171,1982.8586232032467,1.014696648795705,310,88,31,191,0.1540755467196819,46773055,39729028
ES,2013,0.3952634191452936,0.05740542553123389,0.18719653917638954,0.2127465365154802,0.45266884467652746,0.39994307569186976,0.8545994065281899,0.13748763600395647,0.44510385756676557,0.4530168150346192,0.9920870425321464,0.8981206726013847,0.8700886532048211,0.14195581068799906,0.4424605804416953,0.4552470851505189,1.01204446389282,0.8977076655922143,1011,1.8902077151335313,986.4810833527878,1.0248549283518735,153,48,23,82,0.1513353115727003,46604197,39579946
FI,2004,0.4893079841591527,0.05582814764043624,0.19218180704221405,0.22501980083005668,0.545136131799589,0.41720160787227073,1.6318897637795275,0.22736220472440946,0.7790354330708661,0.7933070866141733,1.859251968503937,1.5723425196850394,1.6558634190896935,0.2274393613770099,0.7633241584510213,0.779166110973589,1.8833027804667035,1.5424902694246103,2032,3.4315944881889764,1888.5796045526974,1.0759408791144238,82,23,10,49,0.040354330708661415,5228172,4310828
FI,2005,0.48157950083422274,0.057856611443637844,0.19695754549213332,0.23357746115527758,0.5394361122778606,0.43053500664741096,1.5190058479532165,0.19736842105263158,0.7607212475633528,0.7904483430799221,1.7163742690058479,1.5511695906432748,1.5471783349834296,0.20882122291156552,0.7195907585239228,0.766497943568454,1.7559995578949952,1.486088702092377,2052,3.267543859649123,1821.3119778144794,1.1266603552799006,63,10,8,45,0.03070175438596491,5246096,4335351
FI,2006,0.46831791177939114,0.06163750455458081,0.181312200677102,0.2508726272871643,0.5299554163339719,0.4321848279642663,1.521868787276342,0.20974155069582506,0.742544731610338,0.8389662027833003,1.731610337972167,1.5815109343936382,1.5619799845267113,0.22738487802632962,0.6962574343307206,0.8188415471022276,1.789364862553041,1.515098981432948,1006,3.3131212723658052,915.1595011298649,1.0992619305792952,42,9,11,22,0.041749502982107355,5266268,4362213
