cntry,year,edu3,mcosmo,mutil,mcomm,mlib,mpos,mneg,n,growth,unemp,bailout
AT,2004,high,0.4710875216194365,0.07944123777457111,0.24566229672612652,0.182532348135185,0.5505287593940076,0.42819464486131154,423,2.735120222,5.829999924,0
AT,2004,low,0.2902630132238615,0.06331409210691429,0.3647855678850785,0.21312182923112777,0.3535771053307758,0.5779073971162062,613,2.735120222,5.829999924,0
AT,2004,mid,0.36400360168724516,0.07445985834820311,0.303186393538989,0.20937854995151764,0.4384634600354483,0.5125649434905066,1021,2.735120222,5.829999924,0
AT,2005,high,0.52715789002851,0.10390417459150612,0.1788754895897753,0.1711945212619067,0.6310620646200161,0.350070010851682,371,2.2440653250000002,5.6300001140000004,0
AT,2005,low,0.2526532168041602,0.061257453238585315,0.4196847177979253,0.23896035829998094,0.31391067004274553,0.6586450760979062,583,2.2440653250000002,5.6300001140000004,0
AT,2005,mid,0.3850753067070432,0.08390813001591445,0.3402626011158945,0.17578390228090826,0.46898343672295767,0.5160465033968028,1002,2.2440653250000002,5.6300001140000004,0
AT,2006,high,0.5046953701434833,0.08783352391842958,0.22752933649160065,0.16107384491818455,0.5925288940619129,0.38860318140978517,212,3.454041836,5.239999771,0
AT,2006,low,0.2579531115095969,0.08821312346416949,0.37885202895663145,0.2373248323039118,0.34616623497376636,0.6161768612605433,239,3.454041836,5.239999771,0
AT,2006,mid,0.3579674094208978,0.08310716522925825,0.34226665883642626,0.20115489054442542,0.44107457465015604,0.5434215493808517,516,3.454041836,5.239999771,0
AT,2007,high,0.5112256810749273,0.08087479243258137,0.22788201469105993,0.1649421349170093,0.5921004735075087,0.3928241496080692,199,3.727415301,4.860000134,0
AT,2007,low,0.27153822055137844,0.06324143692564745,0.40989452798663323,0.22023809523809523,0.33477965747702587,0.6301326232247285,228,3.727415301,4.860000134,0
AT,2007,mid,0.4084760211855184,0.09708537892895434,0.29324550372036406,0.19188210920054496,0.5055614001144727,0.485127612920909,537,3.727415301,4.860000134,0
AT,2008,high,0.48882525183338194,0.10068456836749519,0.2213802232094915,0.16471971268719235,0.589509820200877,0.38609993589668384,369,1.460423676,4.1300001140000004,0
AT,2008,low,0.3064994327706192,0.05488622723792215,0.3450889976313705,0.25962703727534236,0.3613856600085414,0.6047160349067129,472,1.460423676,4.1300001140000004,0
