construction,item_set,noop,cell_weight,cntry,year,n_cell,n_eff_cell,outcome,value
count,all,drop,design,EE,2013,893,809.7963347854717,mcomm,0.3293666970468619
count,all,drop,design,ES,2004,1788,1725.606067835523,mcomm,0.3133804001346421
count,all,drop,design,ES,2005,1625,1542.5279646515974,mcomm,0.2984574537633462
count,all,drop,design,ES,2006,767,712.1090671215039,mcomm,0.26833604248726367
count,all,drop,design,ES,2007,815,745.6813334585129,mcomm,0.316479449902405
count,all,drop,design,ES,2008,1659,1567.2913137497655,mcomm,0.3975243710606434
count,all,drop,design,ES,2009,927,893.8664186654023,mcomm,0.14958992689059825
count,all,drop,design,ES,2010,1717,1686.0304524503044,mcomm,0.361811048742463
count,all,drop,design,ES,2011,1736,1704.7753742376515,mcomm,0.42452291642747003
count,all,drop,design,ES,2012,1702,1677.6672913843126,mcomm,0.3824229184308416
count,all,drop,design,ES,2013,858,836.8430386536941,mcomm,0.5189472136989552
count,all,drop,design,FI,2004,1950,1812.4450446142353,mcomm,0.7931977797226382
count,all,drop,design,FI,2005,1989,1766.313187342831,mcomm,0.7418682314183022
count,all,drop,design,FI,2006,964,876.9979044699884,mcomm,0.7236548293835833
count,all,drop,design,FI,2007,984,847.4367634336585,mcomm,0.544267617057685
count,all,drop,design,FI,2008,1885,1626.7363674319893,mcomm,0.46526191617778734
count,all,drop,design,FI,2009,974,895.478503670479,mcomm,0.5185708418639121
count,all,drop,design,FI,2010,1925,1681.0945668693607,mcomm,0.510703826235537
count,all,drop,design,FI,2011,1930,1553.5732725698508,mcomm,0.4640883135689992
count,all,drop,design,FI,2012,1923,1317.1642840467514,mcomm,0.4921931430175621
count,all,drop,design,FI,2013,917,539.0694603666414,mcomm,0.4668791505147669
count,all,drop,design,FR,2004,1969,1930.6784128171146,mcomm,0.817321867601587
count,all,drop,design,FR,2005,1975,1869.098134629631,mcomm,0.8347801982521963
count,all,drop,design,FR,2006,995,916.7935641594164,mcomm,0.7570292392584025
count,all,drop,design,FR,2007,989,946.5605551208699,mcomm,0.8040658056169764
count,all,drop,design,FR,2008,1990,1880.7430149954002,mcomm,0.553514785166282
count,all,drop,design,FR,2009,973,918.680076180858,mcomm,0.5863711343967084
